userId,movieId,rating
1,1371,2.5
1,1405,1.0
1,2105,4.0
1,2294,2.0
2,17,5.0
2,62,3.0
2,150,5.0
2,153,4.0
2,161,3.0
2,165,3.0
2,185,3.0
2,223,1.0
2,225,3.0
2,235,3.0
2,253,4.0
2,273,4.0
2,292,3.0
2,296,4.0
2,339,3.0
2,405,2.0
2,410,3.0
2,457,3.0
2,480,4.0
2,500,4.0
2,527,4.0
2,539,3.0
2,587,3.0
2,590,5.0
2,592,5.0
2,593,3.0
3,247,3.5
3,296,4.5
3,318,5.0
3,527,3.0
3,592,3.0
3,593,3.0
3,778,4.0
3,1271,3.0
3,1721,4.5
3,1884,4.0
3,2762,3.5
3,2959,5.0
3,58559,3.0
4,153,4.0
4,185,3.0
4,260,5.0
4,296,5.0
4,329,3.0
4,410,3.0
4,464,4.0
4,480,5.0
4,541,5.0
4,590,3.0
4,594,5.0
4,858,5.0
4,903,5.0
4,910,4.0
4,913,5.0
4,919,5.0
4,1073,5.0
4,1089,5.0
4,1213,5.0
4,1259,4.0
4,1265,5.0
4,1278,5.0
4,1282,5.0
4,1285,4.0
4,1371,4.0
4,1372,3.0
4,1374,4.0
4,1376,3.0
4,1377,3.0
4,1380,5.0
4,1396,5.0
4,1544,3.0
4,1917,4.0
4,1918,2.0
4,1954,5.0
4,1961,5.0
4,1968,5.0
4,1994,5.0
4,2000,5.0
4,2002,3.0
4,2003,2.0
4,2021,4.0
4,2064,5.0
4,2105,4.0
4,2114,5.0
4,2115,5.0
4,2124,4.0
4,2141,4.0
4,2268,5.0
4,2640,5.0
4,2791,5.0
5,150,4.0
5,500,4.5
5,597,5.0
5,858,2.5
5,903,3.5
5,919,4.0
5,1380,5.0
5,1485,4.5
5,1544,3.5
5,1721,4.0
5,1923,4.5
5,1961,4.0
5,1968,4.0
5,2023,1.5
5,2294,4.0
5,2502,3.5
5,2762,3.5
5,3176,3.5
5,4025,4.5
5,4995,4.5
5,5995,4.0
5,30707,4.5
5,30793,3.5
5,33166,5.0
5,40819,4.5
5,41569,4.0
5,48385,4.5
6,111,4.0
6,158,2.0
6,293,5.0
